people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia
1494,"Tom Ammiano",Tom,,Ammiano,,,1,D,1,Rep,HD-017,789209,70419,,Tom_Ammiano
1495,"Joel Anderson",Joel,,Anderson,,,2,R,2,Sen,SD-038,493316,16716,,Joel_Anderson
1498,"Jim Beall",Jim,,Beall,Jr.,,1,D,2,Sen,SD-015,776647,58229,,James_Beall_Jr.
1500,"Tom Berryhill",Tom,,Berryhill,,,2,R,2,Sen,SD-008,12388609,9681,,Tom_Berryhill
1502,"Marty Block",Marty,,Block,,,1,D,2,Sen,SD-039,6485591,104437,,Martin_Block
1503,"Robert Blumenfield",Robert,,Blumenfield,,Bob,1,D,1,Rep,HD-045,6485598,104387,,
1504,"Steven Bradford",Steven,,Bradford,,,1,D,2,Sen,SD-035,357173,56752,,Steven_Bradford
1506,"Joan Buchanan",Joan,T.,Buchanan,,,1,D,1,Rep,HD-016,21966,104351,,Joan_Buchanan
1510,"Wesley Chesbro",Wesley,,Chesbro,,,1,D,1,Rep,HD-002,13008401,16646,,Wesley_Chesbro
1511,"Connie Conway",Connie,,Conway,,,2,R,1,Rep,HD-026,6673749,81797,,Connie_Conway
1516,"Kevin de Leon",Kevin,,"de Leon",,,1,D,2,Sen,SD-024,2322930,59926,,Kevin_de_Le%C3%B3n
1518,"Bill Emmerson",Bill,,Emmerson,,,2,R,2,Sen,SD-023,13008783,29356,,Bill_Emmerson
1520,"Noreen Evans",Noreen,M.,Evans,,,1,D,2,Sen,SD-002,24705,29163,,Noreen_Evans
1523,"Paul Fong",Paul,J.,Fong,,,1,D,1,Rep,HD-028,146024,104363,,Paul_Fong
1525,"Jean Fuller",Jean,,Fuller,,,2,R,2,Sen,SD-016,258108,57656,,Jean_Fuller
1527,"Ted Gaines",Ted,,Gaines,,,2,R,2,Sen,SD-001,13008426,59841,,Ted_Gaines
1528,"Cathleen Galgiani",Cathleen,,Galgiani,,,1,D,2,Sen,SD-005,21639,57629,,Cathleen_Galgiani
1531,"Curt Hagman",Curt,,Hagman,,,2,R,1,Rep,HD-055,13008735,70547,,Curt_Hagman
1532,"Isadore Hall",Isadore,,Hall,III,,1,D,2,Sen,HD-064,22070,70660,,"Isadore_Hall,_III"
1533,"Diane Harkey",Diane,L.,Harkey,,,2,R,1,Rep,HD-073,2272886,70764,,Diane_Harkey
1535,"Edward Hernandez",Edward,P.,Hernandez,,,1,D,2,Sen,SD-022,363200,69507,,Edward_Hernandez
1536,"Jerry Hill",Jerry,A.,Hill,,,1,D,2,Sen,SD-013,6485659,81552,,Gerald_Hill
1540,"Dave Jones",Dave,,Jones,,,1,D,1,Rep,HD-009,13008469,28659,,Dave_Jones
1541,"Steve Knight",Steve,,Knight,,,2,R,2,Sen,SD-021,13008615,71098,,Stephen_Knight
1542,"Ted Lieu",Ted,W.,Lieu,,,1,D,2,Sen,SD-028,2451821,1516,,Ted_Lieu
1543,"Dan Logue",Dan,,Logue,,,2,R,1,Rep,HD-003,2324003,82026,,Dan_Logue
1544,"Bonnie Lowenthal",Bonnie,,Lowenthal,,,1,D,1,Rep,HD-070,6485687,70442,,Bonnie_Lowenthal
1548,"William Monning",William,W.,Monning,,Bill,1,D,2,Sen,SD-017,6485702,104370,,Bill_Monning
1550,"Brian Nestande",Brian,,Nestande,,,2,R,1,Rep,HD-042,13008655,104422,,Brian_Nestande
1552,"Jim Nielsen",Jim,,Nielsen,,,2,R,2,Sen,SD-004,13008412,104331,,Jim_Nielsen
1554,"John Perez",John,A.,Perez,,,1,D,1,Rep,HD-053,774880,104400,,John_Perez
