people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia
1495,"Joel Anderson",Joel,,Anderson,,,2,R,2,Sen,SD-038,493316,16716,,Joel_Anderson
1498,"Jim Beall",Jim,,Beall,Jr.,,1,D,2,Sen,SD-015,776647,58229,,James_Beall_Jr.
1500,"Tom Berryhill",Tom,,Berryhill,,,2,R,2,Sen,SD-008,12388609,9681,,Tom_Berryhill
1502,"Marty Block",Marty,,Block,,,1,D,2,Sen,SD-039,6485591,104437,,Martin_Block
1516,"Kevin de Leon",Kevin,,"de Leon",,,1,D,2,Sen,SD-024,2322930,59926,,Kevin_de_Le%C3%B3n
1525,"Jean Fuller",Jean,,Fuller,,,2,R,2,Sen,SD-016,258108,57656,,Jean_Fuller
1527,"Ted Gaines",Ted,,Gaines,,,2,R,2,Sen,SD-001,13008426,59841,,Ted_Gaines
1528,"Cathleen Galgiani",Cathleen,,Galgiani,,,1,D,2,Sen,SD-005,21639,57629,,Cathleen_Galgiani
1532,"Isadore Hall",Isadore,,Hall,III,,1,D,2,Sen,HD-064,22070,70660,,"Isadore_Hall,_III"
1535,"Edward Hernandez",Edward,P.,Hernandez,,,1,D,2,Sen,SD-022,363200,69507,,Edward_Hernandez
1536,"Jerry Hill",Jerry,A.,Hill,,,1,D,2,Sen,SD-013,6485659,81552,,Gerald_Hill
1541,"Steve Knight",Steve,,Knight,,,2,R,2,Sen,SD-021,13008615,71098,,Stephen_Knight
1546,"Tony Mendoza",Tony,,Mendoza,,,1,D,2,Sen,SD-032,13008740,56753,,Tony_Mendoza_(California)
1548,"William Monning",William,W.,Monning,,Bill,1,D,2,Sen,SD-017,6485702,104370,,Bill_Monning
1552,"Jim Nielsen",Jim,,Nielsen,,,2,R,2,Sen,SD-004,13008412,104331,,Jim_Nielsen
1582,"Mark DeSaulnier",Mark,,DeSaulnier,,,1,D,2,Sen,SD-007,24686,69477,,Mark_DeSaulnier
1588,"Robert Huff",Robert,,Huff,,Bob,2,R,2,Sen,SD-029,13008765,16575,,Bob_Huff
1590,"Mark Leno",Mark,,Leno,,,1,D,2,Sen,SD-011,22531,28596,,Mark_Leno
1591,"Carol Liu",Carol,J.,Liu,,,1,D,2,Sen,SD-025,22108,29060,,Carol_Liu
1597,"Fran Pavley",Fran,,Pavley,,,1,D,2,Sen,SD-027,1262346,29336,,Fran_Pavley
1604,"Mimi Walters",Mimi,,Walters,,,2,R,2,Sen,SD-037,13008846,29346,,Mimi_Walters
1606,"Lois Wolk",Lois,,Wolk,,,1,D,2,Sen,SD-003,2230653,29062,,Lois_Wolk
1610,"Loni Hancock",Loni,,Hancock,,,1,D,2,Sen,SD-009,6398685,29419,,Loni_Hancock
9547,"Mike Gatto",Mike,,Gatto,,,1,D,1,Rep,HD-043,767512,120220,,Mike_Gatto
10957,"Luis Alejo",Luis,A.,Alejo,,,1,D,1,Rep,HD-030,322143,112270,,Luis_Alejo
10959,"Toni Atkins",Toni,,Atkins,,,1,D,2,Sen,SD-039,145632,70372,,Toni_Atkins_(California)
10960,"Susan Bonilla",Susan,A.,Bonilla,,,1,D,1,Rep,HD-014,299294,82208,,Susan_Bonilla
10965,"Richard Gordon",Richard,S.,Gordon,,Rich,1,D,1,Rep,HD-024,415439,81558,,Richard_Gordon
10968,"Ricardo Lara",Ricardo,,Lara,,,1,D,2,Sen,SD-033,6489792,104399,,Ricardo_Lara
10969,"Holly Mitchell",Holly,J.,Mitchell,,,1,D,2,Sen,SD-030,1322026,120230,,Holly_Mitchell
10970,"Richard Pan",Richard,,Pan,,,1,D,2,Sen,SD-006,13008437,120159,,Richard_Pan
10971,"Henry Perea",Henry,T.,Perea,,,1,D,1,Rep,HD-031,196867,71047,,Henry_T._Perea
10972,"Bob Wieckowski",Bob,,Wieckowski,,,1,D,1,Rep,HD-025,13008529,71025,,Bob_Wieckowski
10973,"Das Williams",Das,,Williams,,,1,D,1,Rep,HD-037,1801952,70639,,Das_Williams
11232,"Kristin Olsen",Kristin,,Olsen,,,2,R,1,Rep,HD-012,13008491,70651,,Kristin_Olsen
11609,"K H Achadjian","K H",,Achadjian,,Katcho,2,R,1,Rep,HD-035,13008599,81542,,K.H._Achadjian
11610,"Nora Campos",Nora,,Campos,,,1,D,1,Rep,HD-027,196260,70451,,Nora_Campos
